id,created_at,lat,lng,address,description,status,confirmed_count,filled_at,expired_at
2bb583af-9a7c-4398-b3c3-2be0dfceb29f,2026-04-29T20:38:13.793891+00:00,43.4436,-80.4885,118 Courtland Avenue East Mill Courtland Woodside Park,Severe damage,expired,1,,2026-07-29T03:00:00.248062+00:00
642a7469-5965-44a5-b97e-a2779402d56c,2026-04-24T00:35:46.988671+00:00,43.4364,-80.4338,55 Thaler Avenue Centreville Chicopee,Moderate damage,expired,1,,2026-07-23T03:00:00.211756+00:00
3c156b5e-9dbb-437b-aab4-e913355e444d,2026-04-24T00:17:12.509243+00:00,43.4371,-80.4343,52 Thaler Avenue Centreville Chicopee,Moderate damage,expired,1,,2026-07-23T03:00:00.211756+00:00
3f4a6553-034d-42ac-aa20-aba1401da6d6,2026-04-23T20:01:18.190597+00:00,43.4385,-80.5062,"98, Belmont Avenue West, St. Mary's, Kitchener, Region of Waterloo, Ontario, N2M 1J3, Canada",Hazardous,expired,1,,2026-07-23T03:00:00.211756+00:00
8756bccb-6c98-48d2-aa16-df0101263677,2026-04-20T23:01:13.162756+00:00,43.4301,-80.5619,Glasgow Street Highland West,,expired,1,,2026-07-20T03:00:00.266863+00:00
7dd1f8a3-8efd-4b86-8079-a9e3680b3a87,2026-04-20T23:00:04.571348+00:00,43.4284,-80.5629,1522 Glasgow Street Highland West,,expired,1,,2026-07-20T03:00:00.266863+00:00
7eb60f46-6486-4fc6-9763-995fd89f72f5,2026-04-20T22:58:53.95473+00:00,43.4303,-80.5612,Glasgow Street Highland West,,expired,1,,2026-07-20T03:00:00.266863+00:00
d666d11c-70d3-429e-8359-a0f24791bc80,2026-04-20T01:06:22.004569+00:00,43.4004,-80.4563,Homer Watson Boulevard Trillium Industrial Park,Hazardous,expired,1,,2026-07-19T03:00:00.334465+00:00
15420074-d322-43ec-950a-8f68fec307d2,2026-04-20T00:55:08.247576+00:00,43.4168,-80.5113,Fischer-Hallman Road Laurentian Hills,Severe damage,expired,1,,2026-07-19T03:00:00.334465+00:00
17d0e7dc-71ce-474d-9ead-39ab1b94eab2,2026-04-19T22:28:35.861668+00:00,43.4387,-80.5067,109 Belmont Avenue West St. Mary's,Severe damage,expired,1,,2026-07-19T03:00:00.334465+00:00
eae1a5bc-56d7-4559-b2c0-d487080a8b38,2026-04-19T00:17:03.766806+00:00,43.4431,-80.4149,900 Fairway Crescent Grand River South,,expired,1,,2026-07-18T03:00:00.27156+00:00
